file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\maaik\PycharmProjects\OssMetricScraping\h2o-2\h2oai-h2o-2-be350f3\src\main\java\water\exec\ASTOp.java,water.exec.ASTIsNA$Anonymous2,anonymous,3,3,0,3,5,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,1,0,4,5,0,5,2,0,0,0,11,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\h2o-2\h2oai-h2o-2-be350f3\src\main\java\water\UKV.java,water.UKV,class,8,69,61,8,19,1,0,13,66,0.0,0.0,0.0,12,12,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,11,53,5,0,6,0,3,0,0,6,0,6,2,0,0,0,40,1025,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\h2o-2\h2oai-h2o-2-be350f3\src\main\java\water\HeartBeat.java,water.HeartBeat,class,2,10,8,2,13,2,0,1,46,0.9368132,0.0,0.0,13,0,13,0,0,0,13,0,0,0,28,0,22,1,0,5,0,0,1,69,7,0,0,0,12,0,12,6,12,28,0,0,0,0,60,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\h2o-2\h2oai-h2o-2-be350f3\src\test\java\water\fvec\FVecTest.java,water.fvec.FVecTest$TestNewVec,innerclass,4,4,0,4,3,3,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,4,1,1,1,1,0,0,0,7,9,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\h2o-2\h2oai-h2o-2-be350f3\src\main\java\hex\deeplearning\DeepLearningModel.java,hex.deeplearning.DeepLearningModel$Errors,innerclass,9,9,0,9,14,2,0,9,1,0.79545456,0.0,0.0,2,0,1,0,0,1,2,0,0,0,22,2,18,0,0,4,1,0,5,44,2,0,4,0,5,50,11,7,14,24,2,0,0,0,76,9,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\h2o-2\h2oai-h2o-2-be350f3\src\main\java\jsr166y\ForkJoinWorkerThread.java,jsr166y.ForkJoinWorkerThread,class,3,13,10,3,10,2,2,8,5,0.5,0.0,0.0,6,0,3,0,3,0,6,0,0,0,2,0,0,0,0,2,2,0,0,43,2,0,2,2,0,0,0,6,0,4,3,0,0,0,157,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\h2o-2\h2oai-h2o-2-be350f3\src\main\java\jsr166y\RecursiveTask.java,jsr166y.RecursiveTask,class,3,6,3,3,4,2,0,1,0,0.625,0.0,0.0,4,0,1,0,3,0,4,1,3,0,2,1,0,1,0,1,1,0,0,15,2,0,0,0,0,0,1,3,0,2,0,0,0,0,93,1025,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\h2o-2\h2oai-h2o-2-be350f3\h2o-zookeeper\src\main\java\water\zookeeper\nodes\ClusterPayload.java,water.zookeeper.nodes.ClusterPayload,class,1,3,2,1,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\h2o-2\h2oai-h2o-2-be350f3\src\main\java\hex\singlenoderf\Data.java,hex.singlenoderf.Data$ColumnInfo,innerclass,2,2,0,2,6,1,0,1,0,0.083333336,0.0,0.0,4,0,1,0,0,3,4,0,0,0,2,0,0,1,0,1,1,0,0,23,3,0,0,0,1,3,2,8,3,5,0,0,0,0,12,0,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\h2o-2\h2oai-h2o-2-be350f3\src\main\java\water\api\HTTP404.java,water.api.HTTP404,class,10,11,1,10,5,8,0,10,2,0.5,0.0,0.0,5,0,3,0,2,0,5,0,0,0,2,1,0,2,0,0,2,0,1,31,4,0,0,0,0,11,0,8,2,5,0,0,0,0,44,1,1
C:\Users\maaik\PycharmProjects\OssMetricScraping\h2o-2\h2oai-h2o-2-be350f3\src\main\java\water\Weaver.java,water.Weaver,class,16,19,3,16,132,1,0,101,227,0.9051384,0.0,0.0,23,5,2,19,0,2,4,0,2,2,8,3,2,6,0,0,6,0,22,365,37,19,19,7,4,144,34,93,33,74,5,1,1,0,202,1,1
