file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\maaik\PycharmProjects\OssMetricScraping\phimpme-android\fossasia-phimpme-android-60acbd2\app\src\main\java\org\fossasia\phimpme\editor\fragment\RecyclerMenuFragment.java,org.fossasia.phimpme.editor.fragment.RecyclerMenuFragment$mRecyclerAdapter$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\phimpme-android\fossasia-phimpme-android-60acbd2\app\src\main\java\org\fossasia\phimpme\gallery\util\PermissionUtils.java,org.fossasia.phimpme.gallery.util.PermissionUtils,class,2,6,4,2,3,1,0,2,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,14,17,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\phimpme-android\fossasia-phimpme-android-60acbd2\app\src\main\java\org\fossasia\phimpme\share\drupal\DrupalLogin.java,org.fossasia.phimpme.share.drupal.DrupalLogin,class,11,13,2,11,4,4,0,12,2,0.75,0.0,0.0,4,0,2,2,0,0,2,0,0,0,6,0,0,0,0,6,0,0,1,33,0,0,0,0,0,0,0,4,0,6,0,1,0,0,37,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\phimpme-android\fossasia-phimpme-android-60acbd2\openCV\src\org\opencv\core\Rect.java,org.opencv.core.Rect,class,4,15,11,4,37,1,0,2,0,0.25,0.0,0.0,16,0,16,0,0,0,16,0,0,0,1,0,1,0,0,0,0,0,4,82,12,0,6,0,13,5,28,27,20,8,1,0,0,0,33,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\phimpme-android\fossasia-phimpme-android-60acbd2\openCV\src\org\opencv\ml\RTrees.java,org.opencv.ml.RTrees,class,5,6,1,5,26,4,0,13,325,0.0,0.0,0.0,26,16,12,12,2,0,14,0,0,0,0,0,0,0,0,0,0,0,15,67,12,0,0,0,0,0,0,7,0,7,0,0,0,0,36,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\phimpme-android\fossasia-phimpme-android-60acbd2\app\src\main\java\org\fossasia\phimpme\opencamera\UI\MainUI.java,org.fossasia.phimpme.opencamera.UI.MainUI$Anonymous2,anonymous,5,5,0,5,9,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,6,0,6,1,0,0,0,14,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\phimpme-android\fossasia-phimpme-android-60acbd2\app\src\main\java\org\fossasia\phimpme\opencamera\UI\MainUI.java,org.fossasia.phimpme.opencamera.UI.MainUI$Anonymous3,anonymous,4,4,0,4,6,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,2,6,8,4,4,4,1,0,0,0,21,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\phimpme-android\fossasia-phimpme-android-60acbd2\app\src\main\java\org\fossasia\phimpme\opencamera\UI\MainUI.java,org.fossasia.phimpme.opencamera.UI.MainUI$Anonymous1,anonymous,7,7,0,7,10,1,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,4,1,8,2,8,2,0,0,0,26,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\phimpme-android\fossasia-phimpme-android-60acbd2\app\src\main\java\org\fossasia\phimpme\opencamera\Preview\ApplicationInterface.java,org.fossasia.phimpme.opencamera.Preview.ApplicationInterface$NoFreeStorageException,innerclass,0,0,0,0,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,0,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\phimpme-android\fossasia-phimpme-android-60acbd2\app\src\main\java\org\fossasia\phimpme\trashbin\TrashBinAdapter.java,org.fossasia.phimpme.trashbin.TrashBinAdapter$OnDeleteClickListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
