file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\analysis\SimHashPlusHammingDistanceTextSimilarity.java,org.apdplat.word.analysis.SimHashPlusHammingDistanceTextSimilarity,class,6,9,3,6,23,2,0,29,6,0.6111111,0.0,0.0,9,1,5,3,1,0,6,0,0,0,2,1,0,2,0,0,1,0,3,118,8,4,7,0,2,38,16,40,20,33,3,0,0,1,69,1,12
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\segmentation\impl\BidirectionalMinimumMatching.java,org.apdplat.word.segmentation.impl.BidirectionalMinimumMatching,class,5,6,1,5,12,2,0,11,3,0.6666667,0.0,0.0,3,1,3,0,0,0,3,0,0,0,2,2,0,2,0,0,2,0,2,44,4,0,3,0,0,7,2,14,3,10,1,0,0,0,29,1,3
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\vector\Word2Vector.java,org.apdplat.word.vector.Word2Vector$ContextWord,innerclass,1,1,0,1,9,1,0,1,0,0.42857143,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,33,6,0,1,0,1,1,3,5,1,3,1,0,0,0,16,10,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\lucene\ChineseWordTokenizer.java,org.apdplat.word.lucene.ChineseWordTokenizer,class,15,19,4,15,27,2,0,32,0,0.80219775,0.0,0.0,7,0,5,2,0,0,5,0,1,0,13,5,0,13,0,0,10,0,16,109,5,2,7,1,1,9,3,32,2,22,5,0,0,2,54,1,1
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\segmentation\Segmentation.java,org.apdplat.word.segmentation.Segmentation,interface,2,26,24,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\corpus\CorpusTools.java,org.apdplat.word.corpus.CorpusTools$Anonymous1,anonymous,1,1,0,1,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,9,1,0,0,0,0,3,0,1,2,1,0,0,0,0,17,-1,1
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\dictionary\impl\DoubleArrayDictionaryTrie.java,org.apdplat.word.dictionary.impl.DoubleArrayDictionaryTrie$Node,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,9,1,0,0,0,0,7,0,0,2,4,0,0,0,0,7,10,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\corpus\CorpusTools.java,org.apdplat.word.corpus.CorpusTools,class,4,6,2,4,57,1,0,62,0,0.7045455,NaN,NaN,11,11,1,10,0,0,1,0,0,0,8,8,0,8,0,0,8,0,23,250,0,12,6,8,1,57,30,57,17,50,5,1,0,1,90,1,11
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\segmentation\SegmentationContrast.java,org.apdplat.word.segmentation.SegmentationContrast,class,4,5,1,4,13,1,0,22,10,0.0,0.0,0.0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,52,2,2,3,1,1,11,4,6,1,6,3,0,0,1,28,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\word\ysc-word-daa57fa\src\main\java\org\apdplat\word\elasticsearch\ChineseWordAnalyzerProvider.java,org.apdplat.word.elasticsearch.ChineseWordAnalyzerProvider,class,8,9,1,8,2,2,0,2,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,2,0,1,10,1,0,0,0,0,0,0,2,0,2,0,0,0,0,20,1,0
